Year,League,Player ID,Player Name,Team,Bases Stolen
1992,National League,grissma02,Marquis Grissom,Montreal,78
1993,American League,loftoke01,Kenny Lofton,Cleveland,70
1993,National League,carrch02,Chuck Carr,Florida,58
1994,American League,loftoke01,Kenny Lofton,Cleveland,60
1994,National League,biggicr01,Craig Biggio,Houston,39
1995,American League,loftoke01,Kenny Lofton,Cleveland,54
1995,National League,verasqu01,Quilvio Veras,Florida,56
1996,American League,loftoke01,Kenny Lofton,Cleveland,75
1996,National League,younger01,Eric Young,Colorado,53
1997,American League,huntebr02,Brian Hunter,Detroit,74
1997,National League,womacto01,Tony Womack,Pittsburgh,60
1998,American League,henderi01,Rickey Henderson,Oakland,66
1998,National League,womacto01,Tony Womack,Pittsburgh,58
1999,American League,huntebr02,Brian Hunter,Detroit,44
1999,National League,womacto01,Tony Womack,Arizona,72
2000,American League,damonjo01,Johnny Damon,Kansas City,46
2000,National League,castilu01,Luis Castillo,Florida,62
2001,American League,suzukic01,Ichiro Suzuki,Seattle,56
2001,National League,pierrju01,Juan Pierre,Colorado,46
2002,American League,soriaal01,Alfonso Soriano,New York,41
2002,National League,castilu01,Luis Castillo,Florida,48
2003,American League,crawfca02,Carl Crawford,Tampa Bay,55
2003,National League,pierrju01,Juan Pierre,Florida,65
2004,American League,crawfca02,Carl Crawford,Tampa Bay,59
2004,National League,podsesc01,Scott Podsednik,Milwaukee,70
2005,American League,figgich01,Chone Figgins,Los Angeles,62
2005,National League,reyesjo01,Jose Reyes,New York,60
2006,American League,crawfca02,Carl Crawford,Tampa Bay,58
2006,National League,reyesjo01,Jose Reyes,New York,64
2007,American League,crawfca02,Carl Crawford,Tampa Bay,50
2007,National League,reyesjo01,Jose Reyes,New York,78
2008,American League,ellsbja01,Jacoby Ellsbury,Boston,50
2008,National League,taverwi01,Willy Taveras,Colorado,68
2009,American League,ellsbja01,Jacoby Ellsbury,Boston,70
2009,National League,bournmi01,Michael Bourn,Houston,61
2010,American League,pierrju01,Juan Pierre,Chicago,68
2010,National League,bournmi01,Michael Bourn,Houston,52
2011,American League,crispco01,Coco Crisp,Oakland,49
2011,National League,bournmi01,Michael Bourn,Atlanta,61
2012,American League,troutmi01,Mike Trout,Los Angeles,49
2012,National League,cabreev01,Everth Cabrera,San Diego,44
2013,American League,ellsbja01,Jacoby Ellsbury,Boston,52
2013,National League,younger03,Eric Young Jr.,Colorado,46
2014,American League,altuvjo01,Jose Altuve,Houston,56
2014,National League,gordode01,Dee Strange-Gordon,Los Angeles,64
2015,American League,altuvjo01,Jose Altuve,Houston,38
2015,National League,gordode01,Dee Strange-Gordon,Miami,58
2016,American League,davisra01,Rajai Davis,Cleveland,43
2016,National League,villajo01,Jonathan Villar,Milwaukee,62
2017,American League,merriwh01,Whit Merrifield,Kansas City,34
2017,National League,gordode01,Dee Strange-Gordon,Miami,60
2018,American League,merriwh01,Whit Merrifield,Kansas City,45
2018,National League,turnetr01,Trea Turner,Washington,43
2019,American League,smithma05,Mallex Smith,Seattle,46
2019,National League,acunaro01,Ronald Acuña Jr.,Atlanta,37
2020,American League,mondera02,Adalberto Mondesi,Kansas City,24
2020,National League,storytr01,Trevor Story,Colorado,15
2021,American League,merriwh01,Whit Merrifield,Kansas City,40
2021,National League,turnetr01,Trea Turner,Los Angeles,32
2022,American League,mateojo01,Jorge Mateo,Baltimore,35
2022,National League,bertijo01,Jon Berti,Miami,41
2023,American League,ruizes01,Esteury Ruiz,Oakland,67
2023,National League,acunaro01,Ronald Acuña Jr.,Atlanta,73
2024,American League,cabaljo01,José Caballero,Tampa Bay,44
2024,National League,delacel01,Elly De La Cruz,Cincinnati,67
2025,American League,cabaljo01,José Caballero,New York,49
2025,National League,cruzon01,Oneil Cruz,Pittsburgh,38
